MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka)",55.7507,160.2896,2004,120
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka)",55.7507,160.2896,2005,107
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka)",55.7507,160.2896,2006,130
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka)",55.7507,160.2896,2007,113
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka)",55.7507,160.2896,2008,85
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka)",55.7507,160.2896,2009,90
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka)",55.7507,160.2896,2010,93
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka)",55.7507,160.2896,2011,80
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka)",55.7507,160.2896,2012,84
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 1",55.76524,160.3206,2004,61
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 1",55.76524,160.3206,2005,69
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 1",55.76524,160.3206,2006,82
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 1",55.76524,160.3206,2007,64
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 1",55.76524,160.3206,2008,80
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 1",55.76524,160.3206,2009,70
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 1",55.76524,160.3206,2010,72
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 1",55.76524,160.3206,2011,71
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 1",55.76524,160.3206,2012,69
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 10",55.89092,160.5375,2006,65
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 10",55.89092,160.5375,2007,52
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 10",55.89092,160.5375,2008,59
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 10",55.89092,160.5375,2009,52
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 10",55.89092,160.5375,2010,61
Russia,Kamchatka,"Ploskii Tolbachik (Kamchatka) 10",55.89092,160.5375,2011,62
