MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,dewpoint_temperature_2m,lake_ice_depth,skin_reservoir_content,skin_temperature,snow_albedo,snow_depth,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_latent_heat_flux_sum,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,1999,120.0,263.0922609004048,0.6664221286773682,0.0001716074154332832,264.9720232018678,0.7792902945332773,0.8208748065605366,273.98934835703994,273.9061686916794,273.695748644527,273.5280886971273,-47718618.0,86657.08922729806,361127984.6328125,267.0098850367683,0.07645760065540674,-0.4159852356784252,-0.5552770581434032
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2000,107.0,263.71727565185586,0.6553927659988403,0.00015569974841788724,266.2680924369659,0.7732957263662352,0.552562238282819,275.32468859822984,275.1745265588916,274.8817973582937,274.5918815598197,-58549553.0,86571.98966267677,358362433.3012492,267.81475738274844,0.05642282378584677,-0.3087784589009777,-0.575442804678116
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2001,130.0,262.69534867181375,0.7041385173797607,0.00017518497996965623,264.6514971450889,0.777164876104968,0.6836398201359887,275.0104512536987,274.94453621319207,274.8285948089659,274.7531278243344,-51603293.166666664,86601.59503339881,355777567.3502121,266.71148827928874,0.07610459012911293,-0.5072678976278496,-0.5466117868482568
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2002,113.0,263.61303257386743,0.6693282127380371,0.00017753878302673802,265.5893841290234,0.7663424304655172,0.7876450949631609,274.6926217877025,274.6322928078774,274.4972363470602,274.35555373475626,-55641182.166666664,86671.47016639692,355076031.47591144,267.531681787164,0.0695230887853624,-0.40435299050698076,-0.5631481526743473
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2003,85.0,264.40794580985835,0.6739344596862793,0.000175685671972466,266.28266657641933,0.7812179907675713,0.7173189477355718,274.70317833518425,274.6068019623438,274.41054532005836,274.27394421532364,-53669456.166666664,86655.44339635236,364398701.9926338,268.07317991458956,0.07654526592224571,-0.4117954954161623,-0.5234229541316764
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2004,90.0,264.08877038961975,0.6777803301811218,0.00017106235697997472,266.06604262085096,0.7776944312948931,0.7279855423498541,274.32713475250347,274.27906530157907,274.20885956298883,274.1794725533229,-47725109.833333336,86564.71482108154,337714875.15596515,267.7764753642848,0.07554812814113603,-0.3589026596236473,-0.4962535028972481
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2005,93.0,264.53426976449697,0.637699544429779,0.00019010874075727022,266.6408616836251,0.7893997440669374,0.7498070587455098,274.50443975136824,274.390699118387,274.0695071531087,273.7478834638296,-50531884.666666664,86726.94767671693,338512951.8649089,268.32414759262196,0.08867693120992115,-0.5269177127383455,-0.5594825399798894
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2006,80.0,264.06774629727835,0.6456933617591858,0.00017426713235627967,265.91821298919086,0.7680946533743848,0.8051824306338937,274.6550876579099,274.56368377661215,274.36794862444845,274.14330009841166,-53274119.333333336,86869.95306226263,357747807.03971356,268.2127996803775,0.061588806819609467,-0.29166237336211,-0.42563642118368405
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2007,84.0,264.30083847565953,0.6299872994422913,0.00019121871358932928,265.77464954147445,0.7848175878267604,0.5957002393986549,274.9228637689005,274.8347990873181,274.63980541306154,274.49916365628434,-49611928.333333336,86605.80408548335,322916894.33658725,267.71631971634093,0.07656791275867232,-0.4061299499741673,-0.5086562623173368
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,1999,61.0,263.0922609004048,0.6664221286773682,0.0001716074154332832,264.9720232018678,0.7792902945332773,0.8208748065605366,273.98934835703994,273.9061686916794,273.695748644527,273.5280886971273,-47718618.0,86657.08922729806,361127984.6328125,267.0098850367683,0.07645760065540674,-0.4159852356784252,-0.5552770581434032
