MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,Elevation,Slope,Aspect
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2004,120.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2005,107.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2006,130.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2007,113.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2008,85.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2009,90.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2010,93.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2011,80.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2012,84.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2004,61.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2005,69.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2006,82.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2007,64.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2008,80.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2009,70.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2010,72.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2011,71.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2012,69.0,1792,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2006,65.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2007,52.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2008,59.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2009,52.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2010,61.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2011,62.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2012,68.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2013,55.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2014,60.5,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2015,66.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2016,61.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2017,70.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2018,61.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2019,71.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2020,59.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2021,65.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2022,59.0,1461,0.00948539748895285,22.55877195729849
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2023,57.0,1461,0.00948539748895285,22.55877195729849
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2013,128.0,743,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2014,91.0,743,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2015,115.0,743,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2016,112.5,743,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2017,108.333333333333,743,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2018,105.0,743,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2019,101.11430785124,743,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2020,96.8571625344353,743,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2021,92.1714359504132,743,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2022,87.0,743,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Most,56.906264,118.28067,2013,80.0,717,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Most,56.906264,118.28067,2014,59.5,717,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Most,56.906264,118.28067,2015,79.0,717,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Most,56.906264,118.28067,2016,78.8313008130081,717,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Most,56.906264,118.28067,2017,78.3333333333333,717,0.10081362927618434,352.55091716470486
Russia,Central Siberia,Chara Most,56.906264,118.28067,2018,75.3333333333333,717,0.10081362927618434,352.55091716470486
Canada,Canada,Teslin,60.44943,-133.52016,2009,100.0,820,0.16402495988638238,299.44792280493454
Canada,Canada,Teslin,60.44943,-133.52016,2010,100.0,820,0.16402495988638238,299.44792280493454
Canada,Canada,Teslin,60.44943,-133.52016,2011,100.0,820,0.16402495988638238,299.44792280493454
Canada,Canada,Teslin,60.44943,-133.52016,2012,100.0,820,0.16402495988638238,299.44792280493454
Canada,Canada,Teslin,60.44943,-133.52016,2013,100.0,820,0.16402495988638238,299.44792280493454
Canada,Canada,Teslin,60.44943,-133.52016,2014,100.0,820,0.16402495988638238,299.44792280493454
Alaska,Alaska Interior,Chevak,61.52786,-165.61778,2009,98.0,5,0.002159753886243289,270
Alaska,Alaska Interior,Chevak,61.52786,-165.61778,2010,77.0,5,0.002159753886243289,270
Alaska,Alaska Interior,Chevak,61.52786,-165.61778,2011,75.0,5,0.002159753886243289,270
Alaska,Alaska Interior,Chevak,61.52786,-165.61778,2012,79.0,5,0.002159753886243289,270
Alaska,Alaska Interior,Chevak,61.52786,-165.61778,2013,87.0,5,0.002159753886243289,270
Alaska,Alaska Interior,Chevak,61.52786,-165.61778,2014,85.0,5,0.002159753886243289,270
Alaska,Alaska Interior,Marshall,61.87901,-162.05759,2009,82.0,13,0.09792554557023889,181.26376315384303
Alaska,Alaska Interior,Marshall,61.87901,-162.05759,2010,76.0,13,0.09792554557023889,181.26376315384303
Alaska,Alaska Interior,Marshall,61.87901,-162.05759,2011,67.0,13,0.09792554557023889,181.26376315384303
