MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,NDVI,EVI
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2004,120.0,28.47826086956522,-114.26086956521739
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2005,107.0,339.7391304347826,17.91304347826087
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2006,130.0,397.6521739130435,23.347826086956523
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2007,113.0,277.7826086956522,26.26086956521739
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2008,85.0,385.8695652173913,-16.52173913043478
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2009,90.0,450.95652173913044,16.652173913043477
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2010,93.0,366.7391304347826,-5.565217391304348
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2011,80.0,240.52173913043478,11.434782608695652
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2012,84.0,586.5652173913044,38.130434782608695
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2004,61.0,137.08695652173913,-86.78260869565217
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2005,69.0,434.7826086956522,15.347826086956522
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2006,82.0,392.95652173913044,16.608695652173914
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2007,64.0,280.8695652173913,14.217391304347826
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2008,80.0,444.82608695652175,-16.434782608695652
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2009,70.0,439.2608695652174,-6.913043478260869
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2010,72.0,431.5652173913044,17.043478260869566
