MainRegion,Region,Location,Latitude,Longitude,Year,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,Elevation,Slope,Aspect,NDVI,EVI,PFG_days,SFG_days,NFG_days,PFG_dewpoint_temperature_2m,PFG_lake_ice_depth,PFG_skin_reservoir_content,PFG_snow_albedo,PFG_snow_depth,PFG_soil_temperature_level_1,PFG_soil_temperature_level_2,PFG_soil_temperature_level_3,PFG_soil_temperature_level_4,PFG_surface_latent_heat_flux_sum,PFG_surface_pressure,PFG_surface_solar_radiation_downwards_sum,PFG_temperature_2m,PFG_total_precipitation_sum,PFG_u_component_of_wind_10m,PFG_v_component_of_wind_10m,SFG_dewpoint_temperature_2m,SFG_lake_ice_depth,SFG_skin_reservoir_content,SFG_snow_albedo,SFG_snow_depth,SFG_soil_temperature_level_1,SFG_soil_temperature_level_2,SFG_soil_temperature_level_3,SFG_soil_temperature_level_4,SFG_surface_latent_heat_flux_sum,SFG_surface_pressure,SFG_surface_solar_radiation_downwards_sum,SFG_temperature_2m,SFG_total_precipitation_sum,SFG_u_component_of_wind_10m,SFG_v_component_of_wind_10m,NFG_dewpoint_temperature_2m,NFG_lake_ice_depth,NFG_skin_reservoir_content,NFG_snow_albedo,NFG_snow_depth,NFG_soil_temperature_level_1,NFG_soil_temperature_level_2,NFG_soil_temperature_level_3,NFG_soil_temperature_level_4,NFG_surface_latent_heat_flux_sum,NFG_surface_pressure,NFG_surface_solar_radiation_downwards_sum,NFG_temperature_2m,NFG_total_precipitation_sum,NFG_u_component_of_wind_10m,NFG_v_component_of_wind_10m,skin_reservoir_content,skin_temperature,snow_albedo,snow_depth,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_latent_heat_flux_sum,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,ALT_Max
Alaska,Alaska Interior,"Allakaket",66.54491,-152.64539,2011,9,9,4,4,4,132,0.0933233561143353,186.359919078046,3029.36842105263,1337.78947368421,180,229,136,259.186527036738,0.897679626941681,0.000150423317595764,0.784624707698822,0.581982873987268,271.141233094533,271.509575557709,272.663175558161,274.977730242411,27514.4333333333,100358.837087674,3318279.23620605,261.498050205796,0.00125046252279524,2.46195802644447,1.05842652166331,261.975054217565,0.83568662405014,0.000143624207728815,0.75875119671898,0.52480248419305,271.695532286531,272.005439633365,273.02438054647,275.20379207228,-246215.729257642,100430.867503781,5062940.92785698,264.295212080732,0.00134796070448506,2.18986834275497,0.832391203924731,280.775325541403,0.0412970706820488,5.17493862585694e-05,0.845155137426713,0.00588660146675858,285.28474685725,284.336636744293,281.593075401643,276.826811958762,-4691220.25,100636.621214624,12809173.7017463,285.057427144518,0.00284674710342617,0.194322152464998,-1.03648874660333,0.000128091274390137,267.410441755691,0.768341654686619,0.321025703457521,275.85576138579,275.678141763618,275.315102495621,275.091144093818,-62276073.8333333,98492.2611445351,273040005.020543,267.681750135882,0.0380632823662556,-0.305436193749988,-0.551547781090003,80
Alaska,Alaska Interior,"Allakaket",66.54491,-152.64539,2008,9,9,4,4,4,132,0.0933233561143353,186.359919078046,3070.84210526316,1460.31578947368,167,230,134,248.361145571558,1.08049774169922,0.000151983196447472,0.700789493833949,0.391114986823229,269.399109507274,269.919161299745,271.580022122808,274.435966449821,-154724.275449102,98616.3963294115,2418786.35893058,251.767618620943,0.000726762623729078,-0.516286003851367,-1.00022714080925,253.504644941247,1.07515156269073,0.000137932944125023,0.685342606081479,0.325438568557518,270.137893914485,270.516476564822,271.896711139403,274.542970118316,-420652.8,98478.2695949388,5096944.93158967,257.543547013877,0.000691387712343119,-0.50793178046959,-0.895116317272186,280.671606590499,0.131336718797684,6.64815306663513e-05,0.854081587708412,0.000254161322294776,285.889463557533,284.5035941755,280.359576894276,274.474514391885,-4664326.8358209,98633.9613759815,15938963.2425373,286.518289176979,0.00152194679650594,0.197506344733547,0.0146510562493433,0.000123774936791122,266.59769709696,0.764612638953295,0.253970731820802,275.593608801127,275.488860716466,275.360812185226,275.315786665117,-60023034.5,98666.2377975844,270016487.319722,266.871824254282,0.0336590582914464,-0.260458867565514,-0.53472046149247,83
Alaska,Alaska Interior,"Allakaket",66.54491,-152.64539,2009,9,9,4,4,4,132,0.0933233561143353,186.359919078046,3019.26315789474,1510.21052631579,173,237,127,249.74583711422,1.16210448741913,0.000153513535541376,0.759978704254981,0.580339435437741,270.736484909793,271.158077273066,272.531896142831,274.645270970515,-221838.057803468,98630.3070291802,2976042.72349451,253.065195998705,0.00110761307452292,-0.450709004622663,-0.841081399219344,254.774364044898,1.11338818073273,0.000147150481007102,0.723447642832701,0.487111023206751,271.150507021554,271.515582110141,272.797684555483,274.891524836652,-505154.11814346,98598.4050797733,5745981.22410847,258.532922479171,0.000911218361691881,-0.45247675983547,-0.746234874349774,279.84628848579,0.117079608142376,9.1634866759533e-05,0.851253871686189,0.000182624876968504,284.773731301776,283.569064177866,280.101343770666,275.487974782628,-4941648,98278.7578714526,15076144.8356914,285.385088858016,0.00189544281883228,-0.0398931181024065,-0.180897144194976,0.00010967997395845,267.58700277527,0.751808174992405,0.29947440490358,275.548545869452,275.475415932097,275.483400280009,275.438274202719,-60937889.5,98766.8435961839,275957275.478821,267.983256220887,0.0322735016856284,-0.272622870675104,-0.542743771471735,90
Alaska,Alaska Interior,"Allakaket",66.54491,-152.64539,2010,9,9,4,4,4,132,0.0933233561143353,186.359919078046,3296.94736842105,1551,176,245,120,245.596957275362,1.17260432243347,0.000112572268611102,0.662903541868383,0.497070774887547,266.162184307069,267.095313523755,270.0697462342,274.545255036065,-126265.852272727,98831.6198582505,2864076.06507874,249.48106278434,0.000392121322868689,-0.451179478881937,-1.04398713689862,252.296722144821,1.11846923828125,0.000117738803430479,0.645105027909181,0.410929029815051,268.191945505467,268.890678584819,271.275082192454,274.964826669498,-541063.126530612,98815.3199650563,5843833.2205128,256.563463818297,0.000458519488612291,-0.508445745260537,-0.902052554954477,280.171698570251,0.125611141324043,9.47974829210175e-05,0.824704627195994,0.000451999240451389,285.468868398666,284.397233963013,281.181377808253,276.759829595354,-4955453.83333333,98393.3641493056,14346681.7026042,285.877600166533,0.00226463363221638,0.208890083763334,0.166545035441717,0.000112173075548177,267.755757367462,0.746590274196982,0.207907515976856,275.873677385921,275.608747178415,274.973386182462,274.512542251642,-60140844,98530.9318077347,275676858.730469,268.110919441679,0.0305618612325726,-0.254839987381924,-0.563547552511907,90
Alaska,Alaska Interior,"ArcticVillage",68.13013,-145.54007,2013,7,7,2,4,5,623,0.237940183878348,163.170421216189,2074.5,890.166666666667,201,268,96,249.140971770532,1.2398921251297,0.000184854921911091,0.68713064148256,0.529702561411692,268.95633199638,269.364589915742,270.732499744169,272.364094615576,-94659.9800995025,91894.0155586003,3747175.14905939,252.868695222719,0.000472645312066711,-0.823496628558854,-1.42594336119062,253.950694473229,1.17958688735962,0.000171652869946921,0.681000672466127,0.447823899302317,269.840296655152,270.144585438629,271.17881624497,272.291523179012,-507668.597014925,91982.6883156239,6950993.6756938,257.930573695928,0.000595320340187687,-0.559726087459878,-1.16164996849364,278.439774950345,0.274899244308472,7.75522785261273e-05,0.784081843164232,0.000935872395833333,282.65389029185,281.282582653893,277.301671021515,272.092011491458,-4631493,91978.8463117811,13958004.7916667,282.725617488225,0.003355707274135,-0.436130742645926,0.206789488593737,0.000154666143292595,261.076042709043,0.737750687269978,0.302878917844492,272.487364055386,272.178835563249,271.417566784378,270.709574918772,-49358326.1666667,92090.4157305984,295905691.67043,263.04733352336,0.0347513267725583,-0.291387275803626,-0.708995498247848,98.25
Alaska,Alaska Interior,"ArcticVillage",68.13013,-145.54007,2008,7,7,2,4,5,623,0.237940183878348,163.170421216189,2072,873.444444444444,195,256,108,247.982286000048,1.25824689865112,0.000188828151450198,0.707281630976587,0.444966321113782,268.464278167333,268.889446020534,270.295742064256,272.654058342306,-29529.5897435897,91581.7239165999,3290869.4619391,251.47557987963,0.000593510548308419,-0.719416833738995,-1.28378516262413,253.002785888811,1.19456946849823,0.000169441404674823,0.697612288097541,0.378383954366048,269.568785659969,269.879241826633,270.947459379832,272.596839216848,-389742.53125,91698.8762607575,6008325.30767822,256.740738677482,0.000608506454796459,-0.754344495789458,-1.13929249485955,278.77258535079,0.22170652449131,6.87562113190874e-05,0.848353682476797,0.000106246383101852,284.895972658087,283.39832615558,279.029295238448,272.341698640659,-5552496.77777778,92126.939893181,16780403.4259259,284.699172579212,0.00275494406310319,-0.189961672933013,0.154805179363416,0.000140585090404236,260.666301551258,0.742744837131684,0.298548821330743,272.495222626934,272.310997854831,271.862113501126,271.445118885842,-51652252,91876.5651521811,275201112.319722,262.74771973882,0.0375057955371651,-0.646413818646463,-0.760474376050473,100
Alaska,Alaska Interior,"ArcticVillage",68.13013,-145.54007,2009,7,7,2,4,5,623,0.237940183878348,163.170421216189,2461.76470588235,1081.64705882353,213,270,94,247.430976903494,1.28219389915466,0.000209709620671653,0.698664986938005,0.520439422559663,268.849718016265,269.240129769315,270.435848328616,272.112015355547,-85519.2863849765,91869.5970579335,4111605.4405615,250.830812137824,0.000445550284794049,-0.653292730753783,-1.23774550237193,252.199876165979,1.22614967823029,0.000186882214045819,0.678014045732992,0.435566165123457,270.140316110776,270.320818175799,271.067105985571,272.01540572555,-676667.911111111,91970.2589795525,6973640.74720685,256.0960259779,0.00051762719898093,-0.542187427444222,-1.04778025282754,277.614639187535,0.282257050275803,4.81904609828976e-05,0.796092325491263,0.000456248614804965,284.471121341624,282.935424378578,278.211812418403,271.7660559661,-5349981.61702128,92141.6600419714,16773673.5319149,284.123120591996,0.00203793675568881,-0.293901874663982,-0.125847582698714,0.000151668695383566,261.531635528641,0.708633808130127,0.326186881689595,273.784673531622,273.526907647879,272.873506640566,271.950574455039,-57128344,92010.519477307,288300692.812154,263.197882912203,0.0276116404994022,-0.478683397350895,-0.812803066985398,100
Alaska,Alaska Interior,"ArcticVillage",68.13013,-145.54007,2010,7,7,2,4,5,623,0.237940183878348,163.170421216189,2546.16666666667,1135.55555555556,196,259,105,246.783766785447,1.29095637798309,0.000173675872030712,0.685770104937002,0.447561043460353,267.856308878685,268.296099095118,269.785512953389,272.681677798836,-81195.4897959184,91656.6653155891,3783094.57719048,250.504189922696,0.000569231819482627,-0.576424770411991,-1.23108633805294,252.02891784285,1.22116088867188,0.000159754596430056,0.674117158201824,0.380539667038691,269.078304722809,269.382090974805,270.468401060755,272.613303310929,-465491.613899614,91686.5745687792,6467760.54921437,255.871738988614,0.000615820440503484,-0.637071445795253,-1.05185697652505,278.377212100559,0.234644666314125,6.98889176996927e-05,0.789136059511276,0.000665380084325397,283.446683169168,282.168403019981,278.312128611973,272.386906372555,-4981940.41904762,91874.3307803199,15264747.6380952,283.133644582355,0.00258180281688709,-0.585731270578172,0.21350261710939,0.000140231969046408,263.013760256731,0.74187971447938,0.268399820296832,274.059107122695,273.837954520601,273.304310463699,272.520140136344,-58285267.6666667,91821.1009809618,279201237.397135,264.91457385577,0.0378343170738754,-0.589095677792985,-0.760567039884099,100
Alaska,Alaska Interior,"ArcticVillage",68.13013,-145.54007,2011,7,7,2,4,5,623,0.237940183878348,163.170421216189,2483.94444444444,1072.88888888889,196,262,103,244.835026870779,1.30326950550079,0.000184831475572927,0.669893607395847,0.448552968550702,266.238250168002,266.825749316183,268.705259919978,272.424732698064,-72963.4591836735,91831.7929704109,3825144.4078556,248.480187341469,0.000395209656887715,-0.577982600246157,-1.36495666722862,251.061132283005,1.21549010276794,0.000171351855568607,0.657070190093596,0.384072184866015,267.832980316104,268.278242254379,269.715089045711,272.396262629948,-363599.083969466,91857.3456428664,6425815.22051769,254.64559949142,0.000596241005117578,-0.519546168906088,-1.10031689457008,278.791828612294,0.265984654426575,7.04574642829525e-05,0.800333844612332,0.00108204073118932,283.697360097398,282.207140234296,278.016958835441,272.22381359088,-5061926.69902913,91939.578779202,15404361.2190534,283.771766897158,0.00263293708608486,-0.216211948965745,0.35488319628447,0.000134534050856262,261.901682677402,0.707035786978599,0.273607851787931,273.166302170817,273.0185787969,272.690909279026,272.54760428227,-53638229,91739.8746317983,273162373.68721,263.548261647827,0.0358898697750366,-0.620868399510115,-0.692637360302239,100
Alaska,Alaska Interior,"ArcticVillage",68.13013,-145.54007,2012,7,7,2,4,5,623,0.237940183878348,163.170421216189,2628.61111111111,1195.16666666667,225,283,81,248.3744967171,1.28620564937592,0.000204764599049533,0.733770587091092,0.452807978877315,267.601308528759,267.952222250479,269.023291493169,270.904061646638,-101100.515555556,92040.7299775752,5328148.57631185,252.094884126451,0.000734288501608928,-0.443665021967005,-1.11322661205574,252.836651329157,1.19731414318085,0.000183631129589182,0.712035445849662,0.387058792743301,268.800972144371,268.960416643302,269.632405585479,270.683132252508,-518173.130742049,92033.7911444531,7613044.83408186,256.749138918586,0.000780988497354614,-0.385961795302527,-0.964971237103987,279.735594776923,0.26253005862236,5.1450750832695e-05,0.828544174447472,0.000353652263374486,285.608067720515,283.649379832264,277.82672484912,270.791330306128,-5502513.28395062,92313.3600963703,17239217.4320988,285.711221993215,0.00241968482827673,0.0654095362243338,0.214600830902288,0.000143299247789127,260.7118270121,0.696662788166083,0.277010312550089,272.273080035794,272.171940553224,272.02209646685,272.346043069946,-51384218.5,91876.4747868334,272517732.778178,262.829229105374,0.0356698681199875,-0.439832513516438,-0.694994434993518,100
